Data,Otwarcie,Max,Min,Zamknięcie,Wolumen,Obrót
10.10.2024,7.80,7.80,7.80,7.80,92,718
09.10.2024,7.80,7.80,7.70,7.80,733,5 715
08.10.2024,8.00,8.00,7.80,7.80,780,6 113
07.10.2024,8.00,8.00,7.80,8.00,1 444,11 438
04.10.2024,8.60,8.60,7.80,8.00,2 052,17 156
03.10.2024,8.80,8.80,8.78,8.80,299,2 629
02.10.2024,8.80,8.80,8.78,8.78,568,4 998
01.10.2024,9.00,9.00,9.00,9.00,160,1 440
30.09.2024,9.00,9.00,9.00,9.00,122,1 098
27.09.2024,9.06,9.12,8.62,9.10,1 892,17 067
26.09.2024,9.16,9.16,9.04,9.04,1 061,9 717
25.09.2024,9.20,9.20,9.04,9.16,367,3 361
24.09.2024,9.20,9.20,9.16,9.20,2 362,21 638
23.09.2024,9.16,9.16,9.16,9.16,2 386,21 856
20.09.2024,9.20,9.20,9.16,9.16,456,4 180
19.09.2024,9.20,9.20,9.16,9.20,1 326,12 198
18.09.2024,9.22,9.24,9.20,9.24,262,2 411
17.09.2024,9.20,9.50,9.16,9.20,1 833,16 835
16.09.2024,9.40,9.40,9.18,9.18,1 766,16 255
13.09.2024,9.40,9.70,9.30,9.30,59,555
12.09.2024,9.88,9.88,9.30,9.40,2 742,25 821
11.09.2024,9.50,9.50,9.34,9.34,654,6 157
10.09.2024,9.40,9.58,9.40,9.58,34,323
09.09.2024,9.20,9.30,9.20,9.30,288,2 654
06.09.2024,9.16,9.50,9.16,9.16,50,467
05.09.2024,9.80,10.00,9.00,9.12,3 270,30 955
04.09.2024,10.00,10.00,9.44,9.70,2 232,21 460
03.09.2024,10.00,10.00,9.90,10.00,1 789,17 889
02.09.2024,10.30,10.30,10.00,10.00,1 785,18 102
30.08.2024,10.50,10.60,10.00,10.20,3 878,39 308
29.08.2024,10.50,10.50,10.50,10.50,447,4 694
28.08.2024,10.70,10.70,10.20,10.20,1 054,11 026
27.08.2024,10.65,10.65,10.50,10.60,278,2 946
26.08.2024,10.75,10.75,10.40,10.70,455,4 823
23.08.2024,11.10,11.10,11.00,11.00,605,6 695
22.08.2024,10.95,11.20,10.95,11.20,51,562
21.08.2024,10.95,11.00,10.95,10.95,72,790
20.08.2024,10.90,11.00,10.40,10.80,1 788,19 075
19.08.2024,11.00,11.30,10.50,10.90,966,10 559
16.08.2024,11.00,11.50,10.50,11.00,351,3 914
14.08.2024,11.00,11.00,10.50,10.90,718,7 867
13.08.2024,11.00,11.00,10.60,10.90,578,6 320
12.08.2024,11.00,11.00,11.00,11.00,660,7 260
09.08.2024,11.00,11.00,10.65,10.85,313,3 442
08.08.2024,10.95,11.00,10.95,11.00,257,2 826
07.08.2024,9.94,10.90,9.94,10.90,233,2 453
06.08.2024,10.00,10.20,9.60,9.90,3 826,37 718
05.08.2024,10.75,10.75,9.92,10.00,3 184,32 686
02.08.2024,10.95,11.30,10.20,10.60,808,8 719
01.08.2024,11.20,11.50,11.00,11.00,465,5 174
10.10.2024,7.80,7.80,7.80,7.80,92,718
09.10.2024,7.80,7.80,7.70,7.80,733,5 715
08.10.2024,8.00,8.00,7.80,7.80,780,6 113
07.10.2024,8.00,8.00,7.80,8.00,1 444,11 438
04.10.2024,8.60,8.60,7.80,8.00,2 052,17 156
03.10.2024,8.80,8.80,8.78,8.80,299,2 629
02.10.2024,8.80,8.80,8.78,8.78,568,4 998
01.10.2024,9.00,9.00,9.00,9.00,160,1 440
30.09.2024,9.00,9.00,9.00,9.00,122,1 098
27.09.2024,9.06,9.12,8.62,9.10,1 892,17 067
26.09.2024,9.16,9.16,9.04,9.04,1 061,9 717
25.09.2024,9.20,9.20,9.04,9.16,367,3 361
24.09.2024,9.20,9.20,9.16,9.20,2 362,21 638
23.09.2024,9.16,9.16,9.16,9.16,2 386,21 856
20.09.2024,9.20,9.20,9.16,9.16,456,4 180
19.09.2024,9.20,9.20,9.16,9.20,1 326,12 198
18.09.2024,9.22,9.24,9.20,9.24,262,2 411
17.09.2024,9.20,9.50,9.16,9.20,1 833,16 835
16.09.2024,9.40,9.40,9.18,9.18,1 766,16 255
13.09.2024,9.40,9.70,9.30,9.30,59,555
12.09.2024,9.88,9.88,9.30,9.40,2 742,25 821
11.09.2024,9.50,9.50,9.34,9.34,654,6 157
10.09.2024,9.40,9.58,9.40,9.58,34,323
09.09.2024,9.20,9.30,9.20,9.30,288,2 654
06.09.2024,9.16,9.50,9.16,9.16,50,467
05.09.2024,9.80,10.00,9.00,9.12,3 270,30 955
04.09.2024,10.00,10.00,9.44,9.70,2 232,21 460
03.09.2024,10.00,10.00,9.90,10.00,1 789,17 889
02.09.2024,10.30,10.30,10.00,10.00,1 785,18 102
30.08.2024,10.50,10.60,10.00,10.20,3 878,39 308
29.08.2024,10.50,10.50,10.50,10.50,447,4 694
28.08.2024,10.70,10.70,10.20,10.20,1 054,11 026
27.08.2024,10.65,10.65,10.50,10.60,278,2 946
26.08.2024,10.75,10.75,10.40,10.70,455,4 823
23.08.2024,11.10,11.10,11.00,11.00,605,6 695
22.08.2024,10.95,11.20,10.95,11.20,51,562
21.08.2024,10.95,11.00,10.95,10.95,72,790
20.08.2024,10.90,11.00,10.40,10.80,1 788,19 075
19.08.2024,11.00,11.30,10.50,10.90,966,10 559
16.08.2024,11.00,11.50,10.50,11.00,351,3 914
14.08.2024,11.00,11.00,10.50,10.90,718,7 867
13.08.2024,11.00,11.00,10.60,10.90,578,6 320
12.08.2024,11.00,11.00,11.00,11.00,660,7 260
09.08.2024,11.00,11.00,10.65,10.85,313,3 442
08.08.2024,10.95,11.00,10.95,11.00,257,2 826
07.08.2024,9.94,10.90,9.94,10.90,233,2 453
06.08.2024,10.00,10.20,9.60,9.90,3 826,37 718
05.08.2024,10.75,10.75,9.92,10.00,3 184,32 686
02.08.2024,10.95,11.30,10.20,10.60,808,8 719
01.08.2024,11.20,11.50,11.00,11.00,465,5 174
30.07.2024,11.50,11.55,11.30,11.30,1 741,19 893
29.07.2024,11.90,11.90,11.50,11.50,1 499,17 415
26.07.2024,11.80,12.00,11.80,11.90,285,3 376
25.07.2024,12.00,12.00,11.85,11.85,638,7 644
24.07.2024,12.00,12.00,11.85,11.90,2 165,25 796
23.07.2024,12.00,12.35,11.80,11.85,1 669,20 062
22.07.2024,12.80,12.80,12.00,12.00,1 379,16 700
19.07.2024,12.70,12.80,12.30,12.80,598,7 508
18.07.2024,12.75,12.75,12.50,12.70,397,5 008
17.07.2024,12.40,12.75,12.40,12.75,335,4 260
16.07.2024,12.75,12.75,12.75,12.75,765,9 754
15.07.2024,12.75,12.75,12.75,12.75,100,1 275
12.07.2024,12.75,12.75,12.75,12.75,1 509,19 240
11.07.2024,12.75,12.75,12.75,12.75,867,11 054
10.07.2024,12.40,12.75,12.40,12.50,1 239,15 698
09.07.2024,12.50,12.50,12.35,12.35,361,4 497
08.07.2024,12.40,12.85,12.35,12.50,2 862,36 616
05.07.2024,12.35,12.40,12.35,12.40,4,50
04.07.2024,12.40,12.65,12.35,12.35,296,3 699
03.07.2024,12.00,12.65,12.00,12.40,1 022,12 565
02.07.2024,13.00,13.00,12.35,12.70,1 825,23 005
01.07.2024,13.00,13.00,13.00,13.00,241,3 133
28.06.2024,13.00,13.00,12.80,12.80,1 658,21 537
27.06.2024,13.00,13.00,12.50,13.00,981,12 605
26.06.2024,12.90,13.00,12.90,13.00,2 877,37 381
25.06.2024,13.70,13.70,12.50,12.90,1 704,22 372
24.06.2024,13.50,13.70,13.50,13.70,148,2 012
21.06.2024,13.80,13.80,13.50,13.50,1 347,18 309
20.06.2024,13.80,13.80,13.80,13.80,483,6 665
19.06.2024,14.00,14.00,13.80,13.80,1 627,22 455
18.06.2024,14.50,14.50,13.60,14.00,972,13 816
17.06.2024,14.50,14.50,13.50,14.45,1 771,25 204
14.06.2024,14.50,14.80,14.50,14.50,589,8 577
13.06.2024,14.60,14.60,14.40,14.50,4 777,69 256
